Sure, here is the data from the roadmap traceability table in comma-delimited (CSV) format.

Level 1 ID,Level 2 ID,Level 3 ID,Component,L3 Requirement Type,Capability,Level 3 Requirement name,Level 3 Requirement text,Verification Method,IDE Conops Section References,Source,Modeled ConOps Reference,Build Version,Action
1,1.1,1.1.1-F1,Capability,F,Planning & Collaboration,P&C Capability Provisioning,"""The IDE shall provide Planning and Collaboration capabilities, including toolsets for Wiki and Work/Backlog Management.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,start
1,1.1,1.1.1-F1,Capability,F,Planning & Collaboration,P&C Capability Provisioning,"""The IDE shall provide Planning and Collaboration capabilities, including toolsets for Wiki and Work/Backlog Management.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,complete
1,1.1,1.1.1-F2,Capability,F,Planning & Collaboration,P&C SSO Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.1-F2,Capability,F,Planning & Collaboration,P&C SSO Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.1-F3,Capability,F,Planning & Collaboration,P&C Logging Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.1-F3,Capability,F,Planning & Collaboration,P&C Logging Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.2-F1,Capability,F,Systems Engineering,SE Capability Provisioning,"""The IDE shall provide System Engineering capabilities, including toolsets for Requirements Management and Model-Based Systems Engineering (MBSE).""",Demonstrate,"Sec 2.2",ConOps,,v0.4.0,start
1,1.1,1.1.2-F1,Capability,F,Systems Engineering,SE Capability Provisioning,"""The IDE shall provide System Engineering capabilities, including toolsets for Requirements Management and Model-Based Systems Engineering (MBSE).""",Demonstrate,"Sec 2.2",ConOps,,v0.4.0,complete
1,1.1,1.1.2-F2,Capability,F,Systems Engineering,SE SSO Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,start
1,1.1,1.1.2-F2,Capability,F,Systems Engineering,SE SSO Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,complete
1,1.1,1.1.2-F3,Capability,F,Systems Engineering,SE Logging Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,start
1,1.1,1.1.2-F3,Capability,F,Systems Engineering,SE Logging Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,complete
1,1.1,1.1.2-F4,Capability,F,Systems Engineering,SE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all System Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2, 5.3.1""",ConOps,,v1.1.0,start
1,1.1,1.1.2-F4,Capability,F,Systems Engineering,SE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all System Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2, 5.3.1""",ConOps,,v1.1.0,complete
1,1.1,1.1.3-F1,Capability,F,Software Factory,SWF Capability Provisioning,"""The IDE shall provide a DoD DevSecOps compliant Software Factory (SWF) capability, including toolsets for Version Control, Artifact Control, CI/CD, SAST, and DAST.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,start
1,1.1,1.1.3-F1,Capability,F,Software Factory,SWF Capability Provisioning,"""The IDE shall provide a DoD DevSecOps compliant Software Factory (SWF) capability, including toolsets for Version Control, Artifact Control, CI/CD, SAST, and DAST.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,complete
1,1.1,1.1.3-F2,Capability,F,Software Factory,SWF SSO Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.3-F2,Capability,F,Software Factory,SWF SSO Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.3-F3,Capability,F,Software Factory,SWF Logging Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.3-F3,Capability,F,Software Factory,SWF Logging Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.3-F4,Capability,F,Software Factory,SWF IDE Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for 'heavy client' Integrated Development Environments.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v1.1.0,start
1,1.1,1.1.3-F4,Capability,F,Software Factory,SWF IDE Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for 'heavy client' Integrated Development Environments.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v1.1.0,complete
1,1.1,1.1.4-F1,Capability,F,Electrical Engineering,EE Capability Provisioning,"The IDE shall provide an Electrical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,start
1,1.1,1.1.4-F1,Capability,F,Electrical Engineering,EE Capability Provisioning,"The IDE shall provide an Electrical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,complete
1,1.1,1.1.4-F2,Capability,F,Electrical Engineering,EE SSO Integration,"The IDE shall integrate the Electrical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
1,1.1,1.1.4-F2,Capability,F,Electrical Engineering,EE SSO Integration,"The IDE shall integrate the Electrical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,complete
1,1.1,1.1.4-F3,Capability,F,Electrical Engineering,EE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all Electrical Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
1,1.1,1.1.4-F3,Capability,F,Electrical Engineering,EE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all Electrical Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,complete
1,1.1,1.1.5-F1,Capability,F,Mechanical Engineering,ME Capability Provisioning,"The IDE shall provide a Mechanical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,start
1,1.1,1.1.5-F1,Capability,F,Mechanical Engineering,ME Capability Provisioning,"The IDE shall provide a Mechanical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,complete
1,1.1,1.1.5-F2,Capability,F,Mechanical Engineering,ME SSO Integration,"The IDE shall integrate the Mechanical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
1,1.1,1.1.5-F2,Capability,F,Mechanical Engineering,ME SSO Integration,"The IDE shall integrate the Mechanical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,complete
1,1.1,1.1.5-F3,Capability,F,Mechanical Engineering,ME Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all Mechanical Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
