"Table 1-Level 3 ID","SPL3 reference ID","SPL3 ConOps Reference","SPL3 Level (L3/L4)"
"2.1.2-F5","2","Sec 3.3.3","L4"
"2.1.2-F2","3","Sec 3.3.3","L4"
"3.1.1-F1","4","Sec 2.1.1","L4"
"2.1.2-F2","5","Sec 3.3.3","L4"
"2.1.2-F1","6","Sec 2.1.2","L4"
"3.1.1-F11","7","Sec 2.1.2","L4"
"3.1.1-F2","8","Sec 2.1.2, 5.1","L4"
"1.1.3-F1","9","Sec 2.2","L4"
"3.1.1-F6","10","Sec 2.1.2","L4"
"3.1.1-F6","11","Sec 2.1.2","L4"
"3.1.1-F5","12","Sec 2.1.2","L4"
"3.1.1-F5","13","Sec 2.1.2","L4"
"3.1.1-F11","14","Sec 2.1.2","L4"
"3.1.1-F7","15","Sec 5.4.3","L4"
"2.1.2-F1","16","Sec 2.1.2","L4"
"3.1.1-F6","17","Sec 2.1.2","L4"
"3.1.1-F6","18","Sec 2.1.2","L4"
"3.1.1-F7","19","Sec 5.4.3","L4"
"2.1.2-F5","20","Sec 3.3.3","L4"
"2.1.2-F1","21","Sec 2.1.2","L4"
"2.1.2-F1","22","Sec 2.1.2","L4"
"2.1.2-F1","23","Sec 2.1.2","L4"
"2.1.2-F2","24","Sec 3.3.3","L4"
"2.1.2-F2","25","Sec 3.3.3","L4"
"1.1.3-F1","26","Sec 2.2","L4"
"3.1.1-N5","27","Sec 2.1, 4.1","L4"
"2.1.2-F3","28","Sec 3.3.3","L4"
"2.1.2-F3","29","Sec 3.3.3","L4"
"2.1.2-F3","30","Sec 3.3.3","L4"
"2.1.2-F3","31","Sec 3.3.3","L4"
"2.1.2-F2","32","Sec 3.3.3","L4"
"2.1.2-F3","33","Sec 3.3.3","L4"
"2.1.2-F3","34","Sec 3.3.3","L4"
"1.1.3-F1","35","Sec 2.2","L4"
"2.1.2-F5","36","Sec 3.3.3","L4"
"3.1.1-N1","37","Sec 2.0, 2.5","L4"
"1.1.3-F1","38","Sec 2.2","L4"
"2.1.2-F2","39","Sec 3.3.3","L4"
"2.1.2-F2","40","Sec 3.3.3","L4"
"3.1.1-N5","41","Sec 2.1, 4.1","L4"
"1.1.3-F1","42","Sec 2.2","L4"
"3.1.1-F11","43","Sec 2.1.2","L4"
"2.1.2-F2","44","Sec 3.3.3","L4"
"3.1.1-F5","45","Sec 2.1.2","L4"
"3.1.1-F7","46","Sec 5.4.3","L4"
"3.1.1-F2","47","Sec 2.1.2, 5.1","L4"
"3.1.1-F1","48","Sec 2.1.1","L4"
"3.1.1-F10","49","Sec 2.2.1","L4"
"3.1.1-N5","50","Sec 2.1, 4.1","L4"
"1.1.3-F1","51","Sec 2.2","L4"
"3.1.1-N1","52","Sec 2.0, 2.5","L4"
"3.1.1-F1","53","Sec 2.1.1","L4"
"3.1.1-N4","54","Sec 2.1.1","L4"
"3.1.1-F1","55","Sec 2.1.1","L4"
"2.1.2-F1","56","Sec 2.1.2","L4"
"3.1.1-N1","57","Sec 2.0, 2.5","L4"
"1.1.3-F1","58","Sec 2.2","L4"
"2.1.2-F1","59","Sec 2.1.2","L4"
"1.1.3-F1","60","Sec 2.2","L4"
"3.1.1-F1","61","Sec 2.1.1","L4"
"3.1.1-F1","62","Sec 2.1.1","L4"
"3.1.1-F5","63","Sec 2.1.2","L4"
"2.1.2-F1","64","Sec 2.1.2","L4"
"2.1.2-F1","65","Sec 2.1.2","L4"
"2.1.2-F1","66","Sec 2.1.2","L4"
"2.1.2-F1","67","Sec 2.1.2","L4"
"2.1.2-F1","68","Sec 2.1.2","L4"
"2.1.2-F1","69","Sec 2.1.2","L4"
"2.1.2-F1","70","Sec 2.1.2","L4"
"3.1.1-F12","71","Sec 2.1.2","L4"
"2.1.2-F2","72","Sec 3.3.3","L4"
"1.1.3-F1","73","Sec 2.2","L4"
"3.1.1-F1","74","Sec 2.1.1","L4"
"3.1.1-F5","75","Sec 2.1.2","L4"
"3.1.1-P2","76","Sec 1.2, 5.2.2","L4"
"3.1.1-F1","77","Sec 2.1.1","L4"
"3.1.1-F5","78","Sec 2.1.2","L4"
"2.1.2-F2","79","Sec 3.3.3","L4"
"3.1.1-F6","80","Sec 2.1.2","L4"
"2.1.2-F2","81","Sec 3.3.3","L4"
"2.1.2-F2","82","Sec 3.3.3","L4"
"3.1.1-F5","83","Sec 2.1.2","L4"
"2.1.2-F2","84","Sec 3.3.3","L4"
"3.1.1-F1","85","Sec 2.1.1","L4"
"2.1.2-F2","86","Sec 3.3.3","L4"
"2.1.2-F2","87","Sec 3.3.3","L4"
"3.1.1-F7","88","Sec 5.4.3","L4"
"2.1.2-F2","89","Sec 3.3.3","L4"
"1.1.3-F1","90","Sec 2.2","L4"
"1.1.3-F1","91","Sec 2.2","L4"
"3.1.1-F1","92","Sec 2.1.1","L4"
"3.1.1-F1","93","Sec 2.1.1","L4"
"3.1.1-F1","94","Sec 2.1.1","L4"
"2.1.2-F3","95","Sec 3.3.3","L4"
"3.1.1-N1","96","Sec 2.0, 2.5","L4"
"2.1.2-F2","97","Sec 3.3.3","L4"
"3.1.1-F1","98","Sec 2.1.1","L4"
"3.1.1-F6","99","Sec 2.1.2","L4"
"2.1.2-F5","100","Sec 3.3.3","L4"
"1.1.3-F1","101","Sec 2.2","L4"
"3.1.1-N10","102","Sec 2.1.2","L4"
"3.1.1-N10","103","Sec 2.1.2","L4"
"3.1.1-F11","104","Sec 2.1.2","L4"
"3.1.1-F11","105","Sec 2.1.2","L4"
"3.1.1-F11","106","Sec 2.1.2","L4"
"3.1.1-F10","107","Sec 2.2.1","L4"
"3.1.1-F1","108","Sec 2.1.1","L4"
"2.1.2-F3","109","Sec 3.3.3","L4"
"3.1.1-F2","110","Sec 2.1.2, 5.1","L4"
"2.1.2-F6","111","Sec 3.3.3","L4"
"2.1.2-F2","112","Sec 3.3.3","L4"
"1.1.3-F1","113","Sec 2.2","L4"
"2.1.2-F2","114","Sec 3.3.3","L4"
"3.1.1-F5","115","Sec 2.1.2","L4"
"2.1.2-F2","116","Sec 3.3.3","L4"
"2.1.2-F2","117","Sec 3.3.3","L4"
"2.1.2-F2","118","Sec 3.3.3","L4"
"1.1.3-F1","119","Sec 2.2","L4"
"1.1.3-F1","120","Sec 2.2","L4"
"3.1.1-F3","121","Sec 2.1.2","L4"
"3.1.1-F3","122","Sec 2.1.2","L4"
"2.1.2-F5","123","Sec 3.3.3","L4"
"3.1.1-F3","124","Sec 2.1.2","L4"
"3.1.1-F3","125","Sec 2.1.2","L4"
"2.1.2-F1","126","Sec 2.1.2","L4"
"2.1.2-F1","128","Sec 2.1.2","L4"
"2.1.2-F1","129","Sec 2.1.2","L4"
"3.1.1-N5","130","Sec 2.1, 4.1","L4"
"2.1.2-F1","131","Sec 2.1.2","L4"
"3.1.1-F2","132","Sec 2.1.2, 5.1","L4"
"3.1.1-F11","133","Sec 2.1.2","L4"
"2.1.2-F3","134","Sec 3.3.3","L4"
"3.1.1-F5","135","Sec 2.1.2","L4"
"2.1.2-F5","136","Sec 3.3.3","L4"
"2.1.2-F1","137","Sec 2.1.2","L4"
"2.1.2-F1","138","Sec 2.1.2","L4"
"3.1.1-N5","139","Sec 2.1, 4.1","L4"
"3.1.1-F6","140","Sec 2.1.2","L4"
"3.1.1-F6","141","Sec 2.1.2","L4"
"2.1.2-F2","142","Sec 3.3.3","L4"
"3.1.1-F2","143","Sec 2.1.2, 5.1","L4"
"3.1.1-F11","144","Sec 2.1.2","L4"
"1.1.3-F1","145","Sec 2.2","L4"
"2.1.2-F3","146","Sec 3.3.3","L4"
"1.1.3-F1","147","Sec 2.2","L4"
"3.1.1-N5","148","Sec 2.1, 4.1","L4"
"3.1.1-P3","149","Sec 4.5","L4"
"3.1.1-N5","150","Sec 2.1, 4.1","L4"
"2.1.2-F3","151","Sec 3.3.3","L4"
"2.1.2-F3","152","Sec 3.3.3","L4"
"3.1.1-F6","153","Sec 2.1.2","L4"
