Level 1 ID,Level 2 ID,Level 3 ID,Component,L3 Requirement Type,Capability,Level 3 Requirement name,Level 3 Requirement text,Verification Method,IDE Conops Section References,Source,Action taken,Notes
1,1.1,1.1.1-F1,Capability,F,Planning & Collaboration,P&C Wiki Capability,"The IDE shall host a web-based Wiki Service that allows authenticated users to create, edit, and version rich-text pages.",Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.1-F2,Capability,F,Planning & Collaboration,P&C SSO Integration (AuthN),The IDE shall integrate the Planning and Collaboration capabilities with the Mandated Shared Service for Centralized Authentication (SSO).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.1-F3,Capability,F,Planning & Collaboration,P&C Logging Integration,The IDE shall integrate the Planning and Collaboration capabilities with the Mandated Shared Service for Centralized Logging.,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.1-F4,Capability,F,Planning & Collaboration,P&C Work Management Capability,"The IDE shall maintain a database of work items (e.g., user stories, tasks) including status, assignee, and priority attributes.",Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.1-F5,Capability,F,Planning & Collaboration,P&C Instant Messaging Capability,The IDE shall transmit real-time text messages between authenticated users via 1-to-1 and group channels.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.1-F6,Capability,F,Planning & Collaboration,P&C Digital Whiteboard Capability,"The IDE shall render a multi-user graphical canvas that supports simultaneous, real-time editing of freeform diagrams.",Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.1-F7,Capability,F,Planning & Collaboration,P&C SSO Integration (AuthZ),The IDE shall integrate the Planning and Collaboration capabilities with the Mandated Shared Service for Centralized Authorization (RBAC).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.1-F8,Capability,F,Planning & Collaboration,P&C Monitoring Integration,The IDE shall integrate the Planning and Collaboration capabilities with the Mandated Shared Service for Centralized Monitoring.,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.2-F1,Capability,F,Systems Engineering,SE Requirements Management Capability,"The IDE shall manage hierarchical system requirements objects and their associated attributes (e.g., rationale, verification method)",Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.2-F2,Capability,F,Systems Engineering,SE SSO Integration (AuthN),The IDE shall integrate the System Engineering capabilities with the Mandated Shared Service for Centralized Authentication (SSO).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.2-F3,Capability,F,Systems Engineering,SE Logging Integration,The IDE shall integrate the System Engineering capabilities with the Mandated Shared Service for Centralized Logging.,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.2-F4,Capability,F,Systems Engineering,SE Traditional Client Remote Access,The IDE Secure Platform shall execute System Engineering client applications within the Remote Application Access Service environment.,Demonstrate,"Sec 2.1.2, 2.2, 5.3.1",4.4 ConOps,Updated,
